matrix       , kernel             , l1_hit_pct, l2_hit_pct, coalescing_pct, warp_occ_pct, kernel_time_us, dram_read_mb, dram_write_mb, dram_total_mb, sectors_per_load_req, global_loads_M, global_stores_M
ASIC_680k    , ELL                ,    20.2000,    30.1600,        71.8000,      89.2300,        38.9100,      19.1400,        2.0200,       21.1600,               4.3800,         0.1921,          0.0213
ASIC_680k    , FLAT_core          ,    32.5700,    31.5700,        67.1400,      81.1100,        73.2200,      39.9100,        2.6000,       42.5100,               4.3900,         0.5009,          0.0000
ASIC_680k    , HYB_coo            ,     8.3000,    68.2300,        75.1300,      88.2500,      2420.0000,      25.1600,        1.5700,       26.7300,               5.1000,         0.2279,          0.0000
ASIC_680k    , HYB_ell            ,    20.1100,    30.4500,        71.8000,      89.0500,        38.6600,      19.1400,        2.0400,       21.1800,               4.3800,         0.1921,          0.0213
ASIC_680k    , LINE               ,    47.9800,    36.8200,        66.6000,      48.3000,      3530.0000,      37.7400,        3.4300,       41.1700,               4.9800,         0.6123,          0.0213
ASIC_680k    , S-V-ADAPTIVE_scalar,    71.4100,    46.2000,        23.6800,      85.6800,        71.7400,      33.0500,        2.9300,       35.9800,              10.6000,         0.4960,          0.0213
ASIC_680k    , S-V-ADAPTIVE_vector,    23.2600,    16.5700,        76.0900,       7.5500,      2200.0000,       9.2500,        0.0870,        9.3370,               4.6400,         0.0780,          0.0004
ASIC_680k    , SCALAR             ,    76.3400,    48.4500,        19.3500,      17.1800,     40130.0000,      37.8200,        3.5500,       41.3700,               2.6700,         2.8409,          0.0213
amazon0302   , FLAT_core          ,    16.4300,    55.5900,        40.8500,      83.1800,        33.4700,       9.7400,        0.0417,        9.7817,               7.4600,         0.1137,          0.0000
amazon0302   , HYB_coo            ,     2.5000,    59.9600,        37.9800,      71.4000,        14.5600,       3.1800,        0.0000,        3.1800,              10.0800,         0.0133,          0.0000
amazon0302   , HYB_ell            ,    25.5200,    33.4600,        72.1900,      89.6700,       379.8400,     300.6900,        2.4000,      303.0900,               3.5400,         3.4894,          0.0082
amazon0302   , LINE               ,    25.6400,    60.3500,        42.4600,      92.4000,        36.0000,       8.6900,        0.0579,        8.7479,               7.3800,         0.1514,          0.0082
amazon0302   , S-V-ADAPTIVE_scalar,    49.9600,    67.0300,        19.8000,      84.7000,        40.8300,       9.7100,        0.1569,        9.8669,               6.7600,         0.2921,          0.0082
amazon0302   , S-V-ADAPTIVE_vector,     8.5500,    31.6300,        27.8000,      11.2200,        11.3300,       0.3261,        0.0000,        0.3261,               6.8000,         0.0010,          0.0001
amazon0302   , SCALAR             ,    49.4800,    69.3800,        18.5000,      84.5800,        42.3400,       8.6900,        0.0749,        8.7649,               6.6400,         0.2942,          0.0082
cage13       , ELL                ,    35.2200,    34.8200,        68.6100,      94.3900,       185.0900,     141.7100,        2.7800,      144.4900,               4.3800,         1.6283,          0.0139
cage13       , FLAT_core          ,    57.6300,    34.9400,        44.5700,      83.1300,       114.8500,      65.3800,        2.7900,       68.1700,               7.0600,         0.9116,          0.0000
cage13       , HYB_coo            ,    23.0600,    49.2300,        63.5700,      83.3700,        28.0600,       7.3300,        0.0000,        7.3300,               6.0800,         0.0652,          0.0000
