matrix,ELL,FLAT_core,HYB_coo,HYB_ell,LINE,S-V-ADAPTIVE_scalar,S-V-ADAPTIVE_vector,SCALAR
ASIC_680k,71.80,67.14,75.13,71.80,66.60,23.68,76.09,19.35
amazon0302,N/A,40.85,37.98,72.19,42.46,19.80,27.80,18.50
cage13,68.61,44.57,63.57,68.61,45.79,16.64,29.75,16.36
cit-Patents,37.58,33.72,36.46,37.58,35.48,18.85,27.59,17.46
crankseg_2,74.93,71.41,77.39,74.93,66.99,N/A,63.88,12.68
parabolic_fem,61.51,58.68,N/A,61.51,59.51,19.19,N/A,18.49
poisson3Da,52.98,33.70,41.19,52.98,33.28,13.36,31.38,13.13
roadNet-CA,59.67,57.25,48.75,59.67,55.54,35.35,N/A,32.52
thermal2,48.01,52.47,42.49,48.01,54.59,16.40,N/A,15.81
webbase-1M,76.91,67.61,63.80,76.91,66.74,37.67,49.55,27.45
