matrix,ELL,FLAT_core,HYB_coo,HYB_ell,LINE,S-V-ADAPTIVE_scalar,S-V-ADAPTIVE_vector,SCALAR
ASIC_680k,30.16,31.57,68.23,30.45,36.82,46.20,16.57,48.45
amazon0302,N/A,55.59,59.96,33.46,60.35,67.03,31.63,69.38
cage13,34.82,34.94,49.23,34.76,36.71,64.92,43.58,66.16
cit-Patents,60.34,63.07,69.85,60.41,65.58,66.80,40.55,68.04
crankseg_2,33.72,29.68,72.14,33.74,29.44,N/A,34.85,61.92
parabolic_fem,39.27,34.27,N/A,39.18,39.16,48.81,N/A,50.37
poisson3Da,20.61,40.99,73.28,20.79,43.27,58.72,64.59,58.66
roadNet-CA,38.63,39.03,33.84,38.56,47.65,45.64,N/A,48.07
thermal2,44.53,43.36,39.62,44.40,47.16,65.64,N/A,68.77
webbase-1M,32.72,31.56,65.99,32.59,37.69,37.04,27.92,40.04
