matrix,ELL,FLAT_core,HYB_coo,HYB_ell,LINE,S-V-ADAPTIVE_scalar,S-V-ADAPTIVE_vector,SCALAR
ASIC_680k,0.192,0.501,0.228,0.192,0.612,0.496,0.078,2.841
amazon0302,N/A,0.114,0.013,3.489,0.151,0.292,0.001,0.294
cage13,1.628,0.912,0.065,1.628,1.098,0.874,0.028,0.881
cit-Patents,1.062,1.537,0.537,1.062,2.130,5.506,0.044,5.816
crankseg_2,20.487,1.686,0.176,20.487,1.817,N/A,1.829,1.695
parabolic_fem,0.345,0.467,N/A,0.345,0.558,0.394,N/A,0.378
poisson3Da,0.140,0.043,0.008,0.140,0.052,0.036,0.017,0.050
roadNet-CA,1.294,0.559,0.069,1.294,0.758,1.103,N/A,1.041
thermal2,1.266,1.089,0.041,1.266,1.305,1.841,N/A,1.803
webbase-1M,0.188,0.430,0.139,0.188,0.633,0.646,0.101,1.099
