matrix,ELL,FLAT_core,HYB_coo,HYB_ell,LINE,S-V-ADAPTIVE_scalar,S-V-ADAPTIVE_vector,SCALAR
ASIC_680k,89.23,81.11,88.25,89.05,48.30,85.68,7.55,17.18
amazon0302,N/A,83.18,71.40,89.67,92.40,84.70,11.22,84.58
cage13,94.39,83.13,83.37,94.44,94.69,84.69,85.45,83.98
cit-Patents,93.76,90.17,92.63,93.78,97.55,84.46,77.66,82.17
crankseg_2,54.88,82.92,88.13,54.89,91.69,N/A,87.73,46.36
parabolic_fem,89.84,87.68,N/A,89.59,94.18,88.34,N/A,87.61
poisson3Da,12.44,64.01,39.81,12.44,42.76,12.29,40.97,12.27
roadNet-CA,94.49,87.45,85.36,94.44,94.22,85.18,N/A,83.73
thermal2,90.74,87.47,83.31,90.67,96.84,92.95,N/A,93.28
webbase-1M,88.88,84.34,87.39,88.98,79.47,80.93,71.15,56.23
