matrix,ELL,FLAT_core,HYB_coo,HYB_ell,LINE,S-V-ADAPTIVE_scalar,S-V-ADAPTIVE_vector,SCALAR
ASIC_680k,4.380,4.390,5.100,4.380,4.980,10.600,4.640,2.670
amazon0302,N/A,7.460,10.080,3.540,7.380,6.760,6.800,6.640
cage13,4.380,7.060,6.080,4.380,6.830,19.120,5.210,19.200
cit-Patents,9.100,9.790,10.880,9.100,9.350,5.200,6.730,4.950
crankseg_2,3.390,4.430,5.080,3.390,4.610,N/A,4.260,18.420
parabolic_fem,5.760,5.120,N/A,5.770,5.830,19.260,N/A,19.920
poisson3Da,5.320,9.340,9.280,5.330,8.600,20.760,6.720,20.200
roadNet-CA,4.810,5.520,7.810,4.810,5.340,5.240,N/A,5.320
thermal2,6.750,5.550,8.910,6.750,6.060,11.650,N/A,11.800
webbase-1M,4.240,4.390,6.020,4.250,4.660,4.620,4.840,4.050
