matrix,ELL,FLAT_core,HYB_coo,HYB_ell,LINE,S-V-ADAPTIVE_scalar,S-V-ADAPTIVE_vector,SCALAR
ASIC_680k,38.91,73.22,2420.00,38.66,3530.00,71.74,2200.00,40130.00
amazon0302,N/A,33.47,14.56,379.84,36.00,40.83,11.33,42.34
cage13,185.09,114.85,28.06,186.72,147.78,146.88,8.90,143.97
cit-Patents,344.86,506.34,400.19,345.57,546.05,592.51,24.58,594.72
crankseg_2,2410.00,195.23,298.24,2400.00,243.84,N/A,176.35,776.77
parabolic_fem,53.63,61.86,N/A,53.98,77.38,75.78,N/A,75.62
poisson3Da,46.75,13.82,16.26,46.94,27.30,16.10,10.11,28.80
roadNet-CA,164.54,90.91,34.72,164.54,111.71,117.09,N/A,103.42
thermal2,168.10,141.57,26.50,168.00,181.18,217.41,N/A,227.49
webbase-1M,41.18,65.89,274.62,40.93,990.69,69.22,36.83,668.51
