matrix       , nrows  , ncols  , nnz     , avg_nnz_row, kernel      , avg_ms   , min_ms   , max_ms   , variance_ms, gflops    , eff_bw_gbs, pct_peak
ASIC_680k    ,  682862,  682862,  3871773,        5.67, ACC         ,  0.197888,  0.196608,  0.198656, 0.000000344,  39.13095 ,   211.8887,    22.71
ASIC_680k    ,  682862,  682862,  3871773,        5.67, FLAT        ,  0.198707,  0.197632,  0.19968 , 0.000000372,  38.969634,   211.0152,    22.61
ASIC_680k    ,  682862,  682862,  3871773,        5.67, HYB         ,  2.08855 ,  2.05824 ,  2.103296, 0.000059605,   3.707618,    27.9229,     2.99
ASIC_680k    ,  682862,  682862,  3871773,        5.67, LINE        ,  2.683177,  2.320384,  2.985984, 0.101830959,   2.885962,    14.5978,     1.56
ASIC_680k    ,  682862,  682862,  3871773,        5.67, S-V-ADAPTIVE,  1.936251,  1.785856,  2.25792 , 0.044079065,   3.999247,    21.6397,     2.32
ASIC_680k    ,  682862,  682862,  3871773,        5.67, SCALAR      , 28.297634, 27.029505, 32.121857, 0.373291016,   0.273646,     1.3842,     0.15
ASIC_680k    ,  682862,  682862,  3871773,        5.67, cuSPARSE    ,  0.077681,  0.075776,  0.079872, 0.000000542,  99.684365,   504.2251,    54.04
amazon0302   ,  262111,  262111,   823251,        3.14, ACC         ,  0.034386,  0.033792,  0.03584 , 0.000000318,  47.883004,   283.0036,    30.33
amazon0302   ,  262111,  262111,   823251,        3.14, ELL         ,  0.383273,  0.380928,  0.387072, 0.000001103,   4.295897,   782.3533,    83.84
amazon0302   ,  262111,  262111,   823251,        3.14, FLAT        ,  0.147507,  0.146432,  0.14848 , 0.000000258,  11.16218 ,    73.1234,     7.84
amazon0302   ,  262111,  262111,   823251,        3.14, HYB         ,  0.036475,  0.03584 ,  0.037888, 0.000000266,  45.140678,   345.8679,    37.07
amazon0302   ,  262111,  262111,   823251,        3.14, LINE        ,  0.027218,  0.026624,  0.027648, 0.000000257,  60.493355,   357.5347,    38.32
amazon0302   ,  262111,  262111,   823251,        3.14, S-V-ADAPTIVE,  0.037345,  0.03584 ,  0.038912, 0.000000344,  44.088585,   288.6517,    30.93
amazon0302   ,  262111,  262111,   823251,        3.14, SCALAR      ,  0.033987,  0.032768,  0.034816, 0.000000286,  48.445657,   286.3291,    30.69
amazon0302   ,  262111,  262111,   823251,        3.14, cuSPARSE    ,  0.039721,  0.038912,  0.04096 , 0.000000236,  41.451694,   244.9925,    26.26
cage13       ,  445315,  445315,  7479343,       16.8 , ACC         ,  0.251689,  0.249856,  0.254976, 0.000001123,  59.433209,   266.2740,    28.54
cage13       ,  445315,  445315,  7479343,       16.8 , ELL         ,  0.186133,  0.183296,  0.18944 , 0.000001907,  80.365765,   765.5877,    82.05
cage13       ,  445315,  445315,  7479343,       16.8 , FLAT        ,  0.240476,  0.238592,  0.242688, 0.000001099,  62.204437,   278.6897,    29.87
cage13       ,  445315,  445315,  7479343,       16.8 , HYB         ,  0.124631,  0.12288 ,  0.126976, 0.000000560, 120.023695,   655.3311,    70.23
cage13       ,  445315,  445315,  7479343,       16.8 , LINE        ,  0.132936,  0.130048,  0.135168, 0.000001203, 112.525798,   490.3015,    52.54
cage13       ,  445315,  445315,  7479343,       16.8 , S-V-ADAPTIVE,  0.151869,  0.14848 ,  0.15872 , 0.000003194,  98.496979,   440.9035,    47.25
cage13       ,  445315,  445315,  7479343,       16.8 , SCALAR      ,  0.145654,  0.141312,  0.152576, 0.000005700, 102.700291,   447.4894,    47.96
cage13       ,  445315,  445315,  7479343,       16.8 , cuSPARSE    ,  0.121098,  0.119808,  0.12288 , 0.000000716, 123.525166,   538.2283,    57.68
cit-Patents  , 3774768, 3774768, 11012632,        2.92, ACC         ,  0.717578,  0.715776,  0.719872, 0.000000685,  30.693883,   207.0623,    22.19
cit-Patents  , 3774768, 3774768, 11012632,        2.92, FLAT        ,  0.715428,  0.713728,  0.717824, 0.000000685,  30.786144,   207.6847,    22.26
cit-Patents  , 3774768, 3774768, 11012632,        2.92, HYB         ,  0.748677,  0.745472,  0.751616, 0.000001431,  29.418913,   276.1541,    29.59
cit-Patents  , 3774768, 3774768, 11012632,        2.92, LINE        ,  0.550912,  0.54784 ,  0.553984, 0.000001460,  39.979631,   242.1407,    25.95
cit-Patents  , 3774768, 3774768, 11012632,        2.92, S-V-ADAPTIVE,  0.620739,  0.618496,  0.623616, 0.000000924,  35.482352,   239.2269,    25.64
cit-Patents  , 3774768, 3774768, 11012632,        2.92, SCALAR      ,  0.598364,  0.594944,  0.601088, 0.000002146,  36.809133,   222.9383,    23.89
cit-Patents  , 3774768, 3774768, 11012632,        2.92, cuSPARSE    ,  0.573604,  0.571392,  0.577536, 0.000001788,  38.398051,   232.5617,    24.92
crankseg_2   ,   63838,   63838, 14148858,      221.64, ACC         ,  0.318474,  0.316416,  0.321536, 0.000001241,  88.854054,   358.9705,    38.47
crankseg_2   ,   63838,   63838, 14148858,      221.64, ELL         ,  2.35944 ,  2.306048,  2.410496, 0.001332283,  11.993404,   741.1295,    79.42
crankseg_2   ,   63838,   63838, 14148858,      221.64, FLAT        ,  0.29696 ,  0.29184 ,  0.299008, 0.000001552,  95.29135 ,   384.9772,    41.26
crankseg_2   ,   63838,   63838, 14148858,      221.64, HYB         ,  0.452843,  0.438272,  0.468992, 0.000033334,  62.488954,   357.6305,    38.33
crankseg_2   ,   63838,   63838, 14148858,      221.64, LINE        ,  0.246671,  0.243712,  0.252928, 0.000002507, 114.718244,   461.9786,    49.51
crankseg_2   ,   63838,   63838, 14148858,      221.64, S-V-ADAPTIVE,  0.176865,  0.176128,  0.178176, 0.000000257, 159.995866,   645.7585,    69.20
crankseg_2   ,   63838,   63838, 14148858,      221.64, SCALAR      ,  0.764344,  0.759808,  0.769024, 0.000002980,  37.022218,   149.0911,    15.98
crankseg_2   ,   63838,   63838, 14148858,      221.64, cuSPARSE    ,  0.19796 ,  0.195584,  0.201728, 0.000001691, 142.946891,   575.6573,    61.69
parabolic_fem,  525825,  525825,  3674625,        6.99, ACC         ,  0.079841,  0.077824,  0.08192 , 0.000000561,  92.048276,   447.2237,    47.93
parabolic_fem,  525825,  525825,  3674625,        6.99, ELL         ,  0.052429,  0.0512  ,  0.053248, 0.000000252, 140.175828,   641.8763,    68.79
parabolic_fem,  525825,  525825,  3674625,        6.99, FLAT        ,  0.178883,  0.177152,  0.180224, 0.000000412,  41.084212,   211.5294,    22.67
parabolic_fem,  525825,  525825,  3674625,        6.99, HYB         ,  0.051364,  0.050176,  0.052224, 0.000000250, 143.082257,   655.1850,    70.21
parabolic_fem,  525825,  525825,  3674625,        6.99, LINE        ,  0.076841,  0.074752,  0.078848, 0.000000628,  95.642351,   464.6858,    49.80
parabolic_fem,  525825,  525825,  3674625,        6.99, S-V-ADAPTIVE,  0.073789,  0.070656,  0.077824, 0.000001759,  99.597585,   512.4067,    54.91
parabolic_fem,  525825,  525825,  3674625,        6.99, SCALAR      ,  0.061819,  0.060416,  0.063488, 0.000000958, 118.883578,   577.6051,    61.90
parabolic_fem,  525825,  525825,  3674625,        6.99, cuSPARSE    ,  0.075663,  0.073728,  0.077824, 0.000000586,  97.130861,   471.9179,    50.57
poisson3Da   ,   13514,   13514,   352762,       26.1 , ACC         ,  0.019425,  0.018432,  0.02048 , 0.000000155,  36.319853,   153.6279,    16.46
poisson3Da   ,   13514,   13514,   352762,       26.1 , ELL         ,  0.020849,  0.02048 ,  0.021504, 0.000000241,  33.840272,   575.5975,    61.69
poisson3Da   ,   13514,   13514,   352762,       26.1 , FLAT        ,  0.105134,  0.104448,  0.105472, 0.000000232,   6.710708,    28.9258,     3.10
