matrix       , nrows  , ncols  , nnz     , avg_nnz_row, ACC     , ELL     , FLAT   , HYB     , LINE    , S-V-ADAPTIVE, SCALAR  , cuSPARSE
ASIC_680k    ,  682862,  682862,  3871773,        5.67,  39.1309, N/A     , 38.9696,   3.7076,   2.8860,       3.9992,   0.2736,  99.6844
amazon0302   ,  262111,  262111,   823251,        3.14,  47.8830, 4.2959  , 11.1622,  45.1407,  60.4934,      44.0886,  48.4457,  41.4517
cage13       ,  445315,  445315,  7479343,       16.8 ,  59.4332, 80.3658 , 62.2044, 120.0237, 112.5258,      98.4970, 102.7003, 123.5252
cit-Patents  , 3774768, 3774768, 11012632,        2.92,  30.6939, N/A     , 30.7861,  29.4189,  39.9796,      35.4824,  36.8091,  38.3981
crankseg_2   ,   63838,   63838, 14148858,      221.64,  88.8541, 11.9934 , 95.2913,  62.4890, 114.7182,     159.9959,  37.0222, 142.9469
parabolic_fem,  525825,  525825,  3674625,        6.99,  92.0483, 140.1758, 41.0842, 143.0823,  95.6424,      99.5976, 118.8836,  97.1309
poisson3Da   ,   13514,   13514,   352762,       26.1 ,  36.3199, 33.8403 ,  6.7107,  31.7506,  32.9187,      34.0409,  29.7748,  37.8565
roadNet-CA   , 1971281, 1971281,  3688810,        1.87,  63.3158, 42.7401 , 31.0334,  60.6049,  63.4105,      61.5997,  67.4851,  65.1833
thermal2     , 1228045, 1228045,  8580313,        6.99, 104.2774, 100.0323, 60.1695, 106.5516,  93.0506,      89.8671,  74.7610,  97.4666
webbase-1M   , 1000005, 1000005,  3105536,        3.11,  33.1738, N/A     , 30.9970,  20.1384,   6.2906,      56.6393,   9.3796,  78.6094
