matrix       , nrows  , ncols  , nnz     , avg_nnz_row, ACC   , ELL   , FLAT  , HYB   , LINE  , S-V-ADAPTIVE, SCALAR , cuSPARSE
ASIC_680k    ,  682862,  682862,  3871773,        5.67, 0.1979, N/A   , 0.1987, 2.0886, 2.6832,       1.9363, 28.2976,   0.0777
amazon0302   ,  262111,  262111,   823251,        3.14, 0.0344, 0.3833, 0.1475, 0.0365, 0.0272,       0.0373,  0.0340,   0.0397
cage13       ,  445315,  445315,  7479343,       16.8 , 0.2517, 0.1861, 0.2405, 0.1246, 0.1329,       0.1519,  0.1457,   0.1211
cit-Patents  , 3774768, 3774768, 11012632,        2.92, 0.7176, N/A   , 0.7154, 0.7487, 0.5509,       0.6207,  0.5984,   0.5736
crankseg_2   ,   63838,   63838, 14148858,      221.64, 0.3185, 2.3594, 0.2970, 0.4528, 0.2467,       0.1769,  0.7643,   0.1980
parabolic_fem,  525825,  525825,  3674625,        6.99, 0.0798, 0.0524, 0.1789, 0.0514, 0.0768,       0.0738,  0.0618,   0.0757
poisson3Da   ,   13514,   13514,   352762,       26.1 , 0.0194, 0.0208, 0.1051, 0.0222, 0.0214,       0.0207,  0.0237,   0.0186
roadNet-CA   , 1971281, 1971281,  3688810,        1.87, 0.1165, 0.1726, 0.2377, 0.1217, 0.1163,       0.1198,  0.1093,   0.1132
thermal2     , 1228045, 1228045,  8580313,        6.99, 0.1646, 0.1716, 0.2852, 0.1611, 0.1844,       0.1910,  0.2295,   0.1761
webbase-1M   , 1000005, 1000005,  3105536,        3.11, 0.1872, N/A   , 0.2004, 0.3084, 0.9874,       0.1097,  0.6622,   0.0790
